ticker,company_name,Current Market Value,Closing Price,Total Volume,% Chg in Price,Net Sales,FE Growth Sales Mean CY 1CY Roll Over -1AW,EBITDA Margin,Net Inc Before Extra & Disc Op,Free Cash Flow,Total Debt% Equity,Price / Earns Ratio,Entrpr Value/ EBITDA,Price /Sales CFY,Number of Insider Purchases (last year),EPS Report Date,FE Price_Tgt Mean ,Option Volume,Put/Call Ratio,Option Open interest,Theor. Imp Vol,Industry,Short Interest,3y BETA Rel to Loc Idx,Local Price 52 Week Low,Local Price 52 Week High,Average Daily Volume,Entrpr Value/ Sales,EV/FCF,1y - Compound Tot Ret,2y - Compound Tot Ret,5y - Compound Tot Ret,10y - Compound Tot Ret,IV Rank,IV Max - 1y,IV Min -1y,Exchng Ticker,Net Sales - 0y ago,Net Sales - 1y ago,Net Sales - 2y ago,Net Sales - 3y ago,Net Sales - 5y ago,Net Sales - 10y ago
BG,Bunge Global SA,"25,495.9",131.4,2.4,-1.5,"70,325.0",0.0,2.5,819.0,-894.0,99.7,18.1,16.1,0.2,0.0,20260204,143.3,"2,127.0",1.7,"36,066.0",35.5,Agricultural Commodities/Milling,3.3,0.3,71.6,134.9,2.4,0.4,-33.5,77.2,28.9,69.0,159.9,78.9,0.4,0.3,BG-USA,"70,325.0","53,112.0","59,532.0","67,225.0","41,418.0","43,455.0"
IONQ,"IonQ, Inc.","25,468.2",68.2,30.9,-3.8,130.0,0.0,-390.9,-510.4,-388.1,0.8,,,96.8,0.0,20260225,70.0,"60,320.0",0.5,"711,746.0",103.1,Computer Processing Hardware,20.3,4.6,25.9,84.6,30.9,78.7,-26.4,71.4,777.0,578.9,,64.5,1.2,0.7,IONQ-USA,130.0,43.1,22.0,11.1,0.0,
FTAI,FTAI Aviation Ltd.,"25,339.0",247.0,0.9,1.2,"2,511.0",0.0,39.8,501.1,"-1,063.2","1,032.1",42.8,23.6,8.1,0.0,20260225,350.6,"1,585.0",0.2,"37,169.0",70.1,Aerospace & Defense,6.7,1.1,108.5,323.5,0.9,9.4,-22.2,101.8,203.3,"1,105.3","4,827.5",80.9,0.8,0.5,FTAI-USA,"2,511.0","1,750.5","1,186.0",722.3,370.2,143.3
QSR,"Restaurant Brands International, Inc.","25,246.6",72.8,4.8,-1.3,"9,434.0",0.0,29.7,902.0,"1,349.0",431.5,29.0,16.1,3.3,0.0,20260212,86.2,"2,568.0",0.2,"30,835.0",25.8,Restaurants,5.0,0.4,61.3,82.0,4.8,5.0,35.0,5.2,11.5,25.2,137.1,83.9,0.3,0.2,QSR-USA,"9,434.0","8,406.0","7,022.0","6,505.0","4,968.0","4,052.2"
ATI,ATI Inc,"24,556.4",179.9,1.7,0.6,"4,587.4",0.0,17.7,404.3,333.7,103.1,41.0,22.2,3.6,0.0,20260203,179.8,"1,009.0",0.5,"31,613.0",54.4,Other Metals/Minerals,2.8,1.7,70.4,183.3,1.7,4.0,54.4,119.7,196.2,656.1,"1,285.1",97.3,0.6,0.4,ATI-USA,"4,587.4","4,362.1","4,173.7","3,836.0","2,982.1","3,719.6"
RPRX,Royalty Pharma Plc Class A,"24,366.8",55.0,4.5,0.1,"2,378.2",0.0,65.7,770.9,"2,595.0",138.4,21.7,21.3,9.2,0.0,20260211,59.6,"1,983.0",0.0,"13,318.0",,Pharmaceuticals: Major,3.1,0.5,33.3,56.1,4.5,14.0,12.9,68.7,115.3,41.4,,30.9,0.6,0.3,RPRX-USA,"2,378.2","2,263.6","2,354.6","2,237.2","2,122.4","1,652.4"
AWK,"American Water Works Company, Inc.","24,177.7",123.8,3.2,-1.3,"5,140.0",0.0,53.9,"1,111.0","-1,067.0",146.9,22.9,14.8,5.0,0.0,20260218,136.4,"1,028.0",1.2,"16,739.0",24.3,Water Utilities,5.7,0.1,120.6,147.9,3.2,8.0,-38.6,-10.5,-0.5,-11.9,97.0,73.4,0.3,0.2,AWK-USA,"5,140.0","4,684.0","4,234.0","3,792.0","3,777.0","3,159.0"
HPQ,HP Inc.,"23,814.2",26.0,21.4,1.0,"55,995.7",0.0,8.5,"2,515.7","2,800.0",,10.4,7.0,0.5,0.0,20251125,23.4,"31,055.0",0.4,"483,957.0",51.3,Information Technology Services,13.1,1.4,17.6,29.7,21.4,0.6,12.0,7.8,-19.8,4.2,171.0,66.2,0.7,0.3,HPQ-USA,"55,327.0","53,151.0","53,475.0","62,033.0","56,531.0","50,468.0"
IREN,IREN Limited,"23,367.0",65.5,59.4,-5.5,489.4,-1.2,25.4,252.8,-729.7,153.0,55.5,26.6,10.1,,20250828,83.5,"350,929.0",0.6,"2,322,530.0",109.5,Data Processing Services,16.9,6.7,8.7,76.9,59.4,10.9,-4.8,636.6,718.5,,,51.8,1.4,0.8,IREN-USA,321.1,121.8,50.8,42.8,2.2,
AKAM,"Akamai Technologies, Inc.","23,313.9",160.4,3.6,-0.9,"4,208.2",0.0,31.8,452.0,699.3,114.0,28.4,11.8,3.0,0.0,20260219,159.8,"11,562.0",0.2,"205,653.0",60.6,Data Processing Services,12.6,-0.1,69.8,165.5,3.6,4.1,24.8,108.0,76.4,40.0,199.5,76.5,0.7,0.3,AKAM-USA,"4,208.2","3,991.2","3,811.9","3,616.7","3,198.1","2,197.4"
STZ,"Constellation Brands, Inc. Class A","23,312.2",135.4,1.3,1.8,"9,300.6",-0.0,37.6,"1,302.0","1,794.0",135.7,16.4,12.0,3.0,0.0,20260408,176.4,"2,821.0",0.5,"100,693.0",37.8,Beverages: Alcoholic,5.0,0.3,126.5,178.6,1.3,4.3,21.8,-21.2,-43.3,-38.0,3.2,53.5,0.4,0.3,STZ-USA,"9,138.1","10,207.9","9,961.9","9,453.9","8,613.5","6,546.3"
DG,Dollar General Corporation,"23,181.5",105.1,4.7,-1.5,"42,522.1",0.0,7.4,"1,434.0","2,392.9",190.2,20.9,10.6,0.7,0.0,20260312,131.5,"11,135.0",0.6,"164,852.0",40.0,Discount Stores,3.8,0.4,95.1,158.2,4.7,1.1,19.3,-4.7,-21.1,-44.7,30.9,44.1,0.6,0.3,DG-USA,"42,724.4","40,612.3","38,691.6","37,844.9","33,746.8","20,368.6"
RIVN,"Rivian Automotive, Inc. Class A","23,027.8",18.3,51.9,-0.8,"5,387.0",-0.1,-52.0,"-3,646.0","-2,489.0",113.8,,,4.3,12.0,20260212,18.0,"246,877.0",0.3,"2,445,663.0",75.1,Motor Vehicles,18.8,1.2,11.6,22.7,51.9,4.2,-9.0,27.1,60.3,,,64.9,0.9,0.5,RIVN-USA,"5,387.0","4,970.0","4,434.0","1,658.0",0.0,
KEY,KeyCorp,"22,638.7",20.9,12.7,3.8,"11,169.0",0.0,,"1,828.0","1,879.0",56.4,13.6,,2.0,0.0,20260120,24.0,"1,381.0",0.2,"153,452.0",28.6,Major Banks,2.6,1.3,15.6,23.3,12.7,3.2,18.9,35.8,61.8,15.8,149.1,31.2,0.5,0.3,KEY-USA,"11,169.0","9,193.0","10,341.0","8,042.0","7,249.0","4,448.0"
CRCL,"Circle Internet Group, Inc. Class A","22,404.2",90.1,16.4,0.5,"2,746.6",0.0,-0.1,-69.5,529.7,1.5,,,7.0,0.0,20260225,145.2,"96,105.0",0.6,"750,898.0",86.6,Packaged Software,9.8,-0.5,49.9,299.0,16.4,6.5,33.5,,,,,23.5,1.6,0.7,CRCL-USA,"2,746.6","1,676.3","1,450.5",772.1,,
AFRM,"Affirm Holdings, Inc. Class A","22,193.7",66.3,5.3,3.7,"3,430.5",0.0,46.9,282.3,601.7,255.2,451.9,24.3,7.9,0.0,20250828,85.1,"15,009.0",0.7,"284,997.0",63.0,Finance/Rental/Leasing,6.8,3.9,42.1,100.0,5.3,9.7,47.9,20.6,130.0,4.8,,31.9,0.8,0.6,AFRM-USA,"2,982.1","2,142.6","1,447.7","1,145.2",348.1,
LEN,Lennar Corporation Class A,"22,033.8",89.5,1.9,2.7,"33,792.3",-0.0,7.7,"1,962.2",309.7,25.2,16.4,13.1,1.0,0.0,20251216,89.0,"3,948.0",1.5,"105,605.0",51.1,Homebuilding,7.4,1.7,81.2,144.2,1.9,1.1,117.4,-14.6,-40.1,5.8,129.7,100.0,0.5,0.3,LEN-USA,"34,131.0","35,476.7","34,288.0","33,709.5","22,464.1","9,468.6"
NXT,Nextpower Inc. Class A,"22,010.7",146.5,2.5,2.6,"3,603.2",0.5,21.4,592.1,511.6,2.1,31.4,23.5,5.2,0.0,20260512,155.8,"1,570.0",0.2,"52,264.0",80.9,Electronic Equipment/Instruments,6.2,1.7,51.7,163.1,2.5,4.9,33.9,152.6,169.8,,,95.8,0.8,0.5,NXT-USA,"3,559.4","2,959.2","2,499.8","1,902.1","1,195.6",
EXE,Expand Energy Corporation,"21,786.6",91.1,4.2,2.6,"11,648.0",-0.2,43.1,"1,819.0","1,633.0",27.2,14.6,6.1,2.3,4.0,20260217,131.4,"7,454.0",1.3,"175,368.0",31.6,Integrated Oil,2.5,-0.1,90.8,126.6,4.2,2.6,18.8,-20.5,5.9,114.6,,50.9,0.4,0.3,EXE-USA,"11,648.0","4,255.0","6,038.0","14,123.0","4,614.0","11,844.0"
